,English,Français
0,Kanban,Kanban
1,Kanban Board,Tableau Kanban
2,Kanban Board {0} does not exist.,Tableau Kanban {0} n'existe pas.
3,Kanban Board Column,Colonne Tableau Kanban
4,Kanban Board Name,Nom du Tableau Kanban
5,KRA,KRA
6,Karma,Karma
7,Keep it web friendly 900px (w) by 100px (h),Garder le compatible avec le web 900px par 100px
8,"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment.","Garder une Trace des Campagnes de Vente. Garder une trace des Prospects, Devis, Commandes Client etc. depuis les Campagnes pour mesurer le Retour sur Investissement."
9,Key,Clé
10,Key Performance Area,Domaine Essentiel de Performance
11,Key Responsibility Area,Domaine de Responsabilités Principal
12,Kg,Kg
13,Knowledge Base,Base de Connaissances
14,Knowledge Base Contributor,Contributeur à la Base de Connaissances
15,Knowledge Base Editor,Éditeur de la Base de Connaissance
16,Keep a track of all communications,Garder une trace de toutes les communications
